"","EVTYPE","yr","outcomes","totalamount"
"1","TORNADO",1950,"PROPDMG",34481650
"2","TORNADO",1951,"PROPDMG",65505990
"3","TORNADO",1952,"PROPDMG",94102240
"4","TORNADO",1953,"PROPDMG",596104700
"5","TORNADO",1954,"PROPDMG",85805320
"6","TORNADO",1955,"PROPDMG",82660630
"7","STORM",1955,"PROPDMG",0
"8","HAIL",1955,"PROPDMG",0
"9","STORM",1956,"PROPDMG",0
"10","HAIL",1956,"PROPDMG",0
"11","TORNADO",1956,"PROPDMG",116912350
"12","TORNADO",1957,"PROPDMG",224388890
"13","HAIL",1957,"PROPDMG",0
"14","STORM",1957,"PROPDMG",0
"15","TORNADO",1958,"PROPDMG",128994610
"16","STORM",1958,"PROPDMG",0
"17","HAIL",1958,"PROPDMG",0
"18","TORNADO",1959,"PROPDMG",87453040
"19","STORM",1959,"PROPDMG",0
"20","HAIL",1959,"PROPDMG",0
"21","TORNADO",1960,"PROPDMG",118224240
"22","STORM",1960,"PROPDMG",0
"23","HAIL",1960,"PROPDMG",0
"24","TORNADO",1961,"PROPDMG",179388730
"25","STORM",1961,"PROPDMG",0
"26","HAIL",1961,"PROPDMG",0
"27","TORNADO",1962,"PROPDMG",67200730
"28","STORM",1962,"PROPDMG",0
"29","HAIL",1962,"PROPDMG",0
"30","STORM",1963,"PROPDMG",0
"31","TORNADO",1963,"PROPDMG",87230580
"32","HAIL",1963,"PROPDMG",0
"33","TORNADO",1964,"PROPDMG",165990820
"34","STORM",1964,"PROPDMG",0
"35","HAIL",1964,"PROPDMG",0
"36","TORNADO",1965,"PROPDMG",1762499040
"37","STORM",1965,"PROPDMG",0
"38","HAIL",1965,"PROPDMG",0
"39","STORM",1966,"PROPDMG",0
"40","TORNADO",1966,"PROPDMG",476629360
"41","HAIL",1966,"PROPDMG",0
"42","TORNADO",1967,"PROPDMG",577019220
"43","STORM",1967,"PROPDMG",0
"44","HAIL",1967,"PROPDMG",0
"45","TORNADO",1968,"PROPDMG",210079910
"46","STORM",1968,"PROPDMG",0
"47","HAIL",1968,"PROPDMG",0
"48","HAIL",1969,"PROPDMG",0
"49","STORM",1969,"PROPDMG",0
"50","TORNADO",1969,"PROPDMG",113274230
"51","STORM",1970,"PROPDMG",0
"52","TORNADO",1970,"PROPDMG",625205980
"53","HAIL",1970,"PROPDMG",0
"54","STORM",1971,"PROPDMG",0
"55","TORNADO",1971,"PROPDMG",202120550
"56","HAIL",1971,"PROPDMG",0
"57","TORNADO",1972,"PROPDMG",151172570
"58","STORM",1972,"PROPDMG",0
"59","HAIL",1972,"PROPDMG",0
"60","STORM",1973,"PROPDMG",0
"61","TORNADO",1973,"PROPDMG",2063066560
"62","HAIL",1973,"PROPDMG",0
"63","HAIL",1974,"PROPDMG",0
"64","TORNADO",1974,"PROPDMG",1943267780
"65","STORM",1974,"PROPDMG",0
"66","HAIL",1975,"PROPDMG",0
"67","STORM",1975,"PROPDMG",0
"68","TORNADO",1975,"PROPDMG",826723790
"69","STORM",1976,"PROPDMG",0
"70","TORNADO",1976,"PROPDMG",308497190
"71","HAIL",1976,"PROPDMG",0
"72","STORM",1977,"PROPDMG",0
"73","TORNADO",1977,"PROPDMG",342024230
