"","EVTYPE","yr","outcomes","totalamount"
"1","TORNADO",1950,"FATALITIES",70
"2","TORNADO",1951,"FATALITIES",34
"3","TORNADO",1952,"FATALITIES",230
"4","TORNADO",1953,"FATALITIES",519
"5","TORNADO",1954,"FATALITIES",36
"6","TORNADO",1955,"FATALITIES",129
"7","STORM",1955,"FATALITIES",0
"8","HAIL",1955,"FATALITIES",0
"9","STORM",1956,"FATALITIES",0
"10","HAIL",1956,"FATALITIES",0
"11","TORNADO",1956,"FATALITIES",83
"12","TORNADO",1957,"FATALITIES",193
"13","HAIL",1957,"FATALITIES",0
"14","STORM",1957,"FATALITIES",0
"15","TORNADO",1958,"FATALITIES",67
"16","STORM",1958,"FATALITIES",0
"17","HAIL",1958,"FATALITIES",0
"18","TORNADO",1959,"FATALITIES",58
"19","STORM",1959,"FATALITIES",0
"20","HAIL",1959,"FATALITIES",0
"21","TORNADO",1960,"FATALITIES",46
"22","STORM",1960,"FATALITIES",0
"23","HAIL",1960,"FATALITIES",0
"24","TORNADO",1961,"FATALITIES",52
"25","STORM",1961,"FATALITIES",0
"26","HAIL",1961,"FATALITIES",0
"27","TORNADO",1962,"FATALITIES",30
"28","STORM",1962,"FATALITIES",0
"29","HAIL",1962,"FATALITIES",0
"30","STORM",1963,"FATALITIES",0
"31","TORNADO",1963,"FATALITIES",31
"32","HAIL",1963,"FATALITIES",0
"33","TORNADO",1964,"FATALITIES",73
"34","STORM",1964,"FATALITIES",0
"35","HAIL",1964,"FATALITIES",0
"36","TORNADO",1965,"FATALITIES",301
"37","STORM",1965,"FATALITIES",0
"38","HAIL",1965,"FATALITIES",0
"39","STORM",1966,"FATALITIES",0
"40","TORNADO",1966,"FATALITIES",98
"41","HAIL",1966,"FATALITIES",0
"42","TORNADO",1967,"FATALITIES",114
"43","STORM",1967,"FATALITIES",0
"44","HAIL",1967,"FATALITIES",0
"45","TORNADO",1968,"FATALITIES",131
"46","STORM",1968,"FATALITIES",0
"47","HAIL",1968,"FATALITIES",0
"48","HAIL",1969,"FATALITIES",0
"49","STORM",1969,"FATALITIES",0
"50","TORNADO",1969,"FATALITIES",66
"51","STORM",1970,"FATALITIES",0
"52","TORNADO",1970,"FATALITIES",73
"53","HAIL",1970,"FATALITIES",0
"54","STORM",1971,"FATALITIES",0
"55","TORNADO",1971,"FATALITIES",159
"56","HAIL",1971,"FATALITIES",0
"57","TORNADO",1972,"FATALITIES",27
"58","STORM",1972,"FATALITIES",0
"59","HAIL",1972,"FATALITIES",0
"60","STORM",1973,"FATALITIES",0
"61","TORNADO",1973,"FATALITIES",89
"62","HAIL",1973,"FATALITIES",0
"63","HAIL",1974,"FATALITIES",0
"64","TORNADO",1974,"FATALITIES",366
"65","STORM",1974,"FATALITIES",0
"66","HAIL",1975,"FATALITIES",0
"67","STORM",1975,"FATALITIES",0
"68","TORNADO",1975,"FATALITIES",60
"69","STORM",1976,"FATALITIES",0
"70","TORNADO",1976,"FATALITIES",44
"71","HAIL",1976,"FATALITIES",0
"72","STORM",1977,"FATALITIES",0
"73","TORNADO",1977,"FATALITIES",43
"74","HAIL",1977,"FATALITIES",0
"75","STORM",1978,"FATALITIES",0
"76","TORNADO",1978,"FATALITIES",53
"77","HAIL",1978,"FATALITIES",0
"78","STORM",1979,"FATALITIES",0
"79","HAIL",1979,"FATALITIES",0
"80","TORNADO",1979,"FATALITIES",84
"81","HAIL",1980,"FATALITIES",0
"82","STORM",1980,"FATALITIES",0
"83","TORNADO",1980,"FATALITIES",28
"84","STORM",1981,"FATALITIES",0
"85","TORNADO",1981,"FATALITIES",24
"86","HAIL",1981,"FATALITIES",0
"87","TORNADO",1982,"FATALITIES",64
"88","HAIL",1982,"FATALITIES",0
"89","STORM",1982,"FATALITIES",0
"90","STORM",1983,"FATALITIES",3
"91","TORNADO",1983,"FATALITIES",34
"92","HAIL",1983,"FATALITIES",0
"93","STORM",1984,"FATALITIES",38
"94","TORNADO",1984,"FATALITIES",122
"95","HAIL",1984,"FATALITIES",0
"96","TORNADO",1985,"FATALITIES",94
"97","STORM",1985,"FATALITIES",18
"98","HAIL",1985,"FATALITIES",0
"99","STORM",1986,"FATALITIES",36
"100","HAIL",1986,"FATALITIES",0
"101","TORNADO",1986,"FATALITIES",15
"102","STORM",1987,"FATALITIES",30
"103","HAIL",1987,"FATALITIES",0
"104","TORNADO",1987,"FATALITIES",59
"105","HAIL",1988,"FATALITIES",0
"106","STORM",1988,"FATALITIES",23
"107","TORNADO",1988,"FATALITIES",32
"108","TORNADO",1989,"FATALITIES",50
"109","STORM",1989,"FATALITIES",29
"110","HAIL",1989,"FATALITIES",0
"111","HAIL",1990,"FATALITIES",0
"112","STORM",1990,"FATALITIES",42
"113","TORNADO",1990,"FATALITIES",53
"114","STORM",1991,"FATALITIES",30
"115","HAIL",1991,"FATALITIES",4
"116","TORNADO",1991,"FATALITIES",39
"117","STORM",1992,"FATALITIES",14
"118","TORNADO",1992,"FATALITIES",39
"119","HAIL",1992,"FATALITIES",1
